mesh_code,daytime_population
533944473,693
533944474,1515
533944481,2669
533944482,634
533944483,2074
533944484,606
533944491,3341
533944492,4454
533944493,3872
533944494,8171
533944532,425
533944534,406
533944541,620
533944542,1130
533944543,786
533944544,1093
533944551,826
533944552,770
533944553,1944
533944554,600
533944561,815
533944562,461
533944563,326
533944564,348
533944571,930
533944572,387
533944573,222
533944574,758
533944581,1370
533944582,1988
533944583,601
533944584,1537
533944591,824
533944592,1183
533944593,634
533944594,652
533944632,1368
533944634,209
533944641,466
533944642,1625
533944643,709
533944644,573
533944651,1358
533944652,740
533944653,765
533944654,1252
533944661,351
533944662,348
533944663,1229
533944664,794
533944671,465
533944672,956
533944673,1226
533944674,625
533944681,766
533944682,620
533944683,880
533944684,673
533944691,1080
533944692,662
533944693,1546
533944694,1549
533944732,596
533944734,801
533944741,883
533944742,473
533944743,991
533944744,262
533944751,822
533944752,458
533944753,1053
533944754,895
533944761,2627
533944762,453
533944763,1157
533944764,660
533944771,2362
533944772,495
533944773,1036
533944774,905
533944781,1696
533944782,1247
533944783,516
533944784,520
533944791,1181
533944792,882
533944793,642
533944794,425
533944832,221
533944834,522
533944841,448
533944842,278
533944843,743
533944844,714
533944851,406
533944852,530
533944853,374
533944854,334
533944861,913
533944862,394
533944863,531
533944864,1369
533944871,644
533944872,441
533944873,512
533944874,574
533944881,405
533944882,497
533944883,285
533944884,477
533944891,1101
533944892,722
533944893,1262
533944894,478
533944932,205
533944934,436
533944941,475
533944942,524
533944943,201
533944944,670
533944951,587
533944952,740
533944953,2326
533944954,877
533944961,306
533944962,294
533944963,715
533944964,2798
533944971,493
533944972,873
533944973,1591
533944974,338
533944981,4245
533944982,2168
533944983,290
533944984,1176
533944991,2227
533944992,679
533944993,853
533944994,2744
533945001,1300
533945002,2284
533945003,269
533945004,337
533945011,1663
533945012,2203
533945013,425
533945014,1274
533945021,2732
533945022,880
533945023,1450
533945024,3043
533945031,388
533945032,785
533945033,5320
533945034,4991
